ubicageo_c,ahirregu_a,rensnn1,rensnn2
13014,1,2,0
13015,1,2,0
13016,1,1,2
13017,1,2,0
13018,1,9,97
13019,1,1,2
13020,1,2,0
13021,1,1,2
13022,1,1,9
13023,1,2,0
13024,1,9,97
13025,1,2,0
13026,1,2,0
13027,1,1,2
13028,1,2,0
13029,1,2,0
13030,1,2,0
13031,1,2,0
13032,1,2,0
13033,1,2,0
13034,1,2,0
13035,1,9,97
13036,1,2,0
13037,1,2,0
13038,1,9,97
13039,1,9,97
13040,1,9,97
13041,1,9,97
13042,1,2,0
13043,1,2,0
13044,1,2,0
13045,1,2,0
13046,1,2,0
13047,1,2,0
13048,1,2,0
13049,1,9,97
13050,1,2,0
13051,1,1,2
13052,1,1,2
13053,1,2,0
13054,1,2,0
13055,1,2,0
13056,1,1,2
13057,1,2,0
13058,1,9,97
13059,1,2,0
13060,1,9,97
13061,1,1,2
13062,1,2,0
13063,1,1,1
13064,1,1,2
13065,1,1,2
13066,1,1,1
13067,1,2,0
13068,1,2,0
13069,1,1,1
13070,1,9,97
13071,1,2,0
13072,1,1,2
13073,1,2,0
13074,1,9,97
13075,1,2,0
13076,1,1,2
13077,1,1,1
13078,1,2,0
13079,1,2,0
13080,1,2,0
13081,1,2,0
13082,1,2,0
13083,1,2,0
13084,1,1,2
14001,1,1,2
14002,1,1,2
14003,1,1,1
14004,1,2,0
14005,1,1,1
14006,1,1,1
14007,1,1,1
14008,1,1,1
14009,1,2,0
14010,1,1,1
14011,1,1,1
14012,1,1,2
14013,1,1,1
14014,1,1,2
14015,1,1,1
14016,1,1,1
14017,1,1,1
14018,1,1,1
14019,1,1,2
14020,1,1,2
14021,1,1,1
14022,1,1,1
14023,1,1,2
14024,1,1,1
14025,1,1,1
14026,1,1,2
14027,1,1,1
14028,1,2,0
14029,1,1,2
14030,1,1,2
14031,1,1,1
14032,1,1,1
14033,1,1,2
14034,1,1,1
14035,1,1,1
14036,1,2,0
14037,1,1,1
14038,1,1,2
14039,1,1,1
14040,1,1,2
14041,1,1,1
14042,1,1,2
14043,1,1,2
14044,1,1,2
14045,1,1,1
14046,1,1,1
14047,1,1,1
14048,1,1,2
14049,1,1,2
14050,1,1,1
14051,1,1,2
14052,1,1,1
14053,1,1,1
14054,1,1,2
14055,1,2,0
14056,1,2,0
14057,1,2,0
14058,1,2,0
14059,1,1,2
14060,1,1,2
14061,1,1,2
14062,1,1,2
14063,1,1,1
14064,1,1,2
14065,1,1,1
14066,1,1,1
14067,1,1,1
14068,1,1,2
14069,1,1,1
14070,1,1,2
14071,1,1,1
14072,1,1,2
14073,1,1,1
14074,1,1,2
14075,1,2,0
14076,1,1,1
14077,1,2,0
14078,1,1,1
14079,1,1,2
14080,1,1,2
14081,1,1,1
14082,1,1,1
14083,1,1,2
14084,1,1,1
14085,1,1,2
14086,1,1,2
14087,1,1,1
14088,1,1,2
14089,1,1,2
14090,1,1,2
14091,1,1,2
14092,1,1,2
14093,1,1,2
14094,1,1,1
14095,1,1,1
14096,1,1,2
14097,1,1,1
14098,1,1,1
14099,1,1,2
14100,1,1,2
14101,1,1,1
14102,1,1,2
14103,1,1,1
14104,1,1,2
14105,1,1,2
14106,1,1,2
14107,1,1,2
14108,1,1,1
14109,1,1,2
14110,1,1,2
14111,1,1,2
14112,1,1,2
14113,1,1,2
14114,1,1,2
14115,1,2,0
14116,1,1,1
14117,1,1,2
14118,1,1,2
14119,1,1,2
14120,1,1,1
14121,1,1,1
14122,1,1,2
14123,1,1,1
14124,1,1,2
14125,1,1,2
15001,1,1,2
15002,1,1,2
15003,1,2,0
15004,1,2,0
15005,1,1,2
15006,1,2,0
15007,1,1,1
15008,1,2,0
15009,1,2,0
15010,1,1,2
15011,1,2,0
15012,1,1,1
15013,1,1,1
15014,1,1,2
15015,1,1,2
15016,1,1,1
15017,1,2,0
15018,1,1,2
15019,1,2,0
15020,1,1,1
15021,1,1,1
15022,1,1,2
15023,1,1,2
15024,1,1,1
15025,1,1,2
15026,1,2,0
15027,1,1,1
15028,1,1,1
15029,1,1,2
15030,1,1,2
15031,1,1,1
15032,1,1,1
15033,1,2,0
15034,1,1,2
15035,1,1,1
15036,1,1,1
15037,1,1,1
15038,1,2,0
15039,1,1,1
15040,1,1,2
15041,1,1,2
15042,1,1,2
15043,1,1,2
15044,1,2,0
15045,1,1,2
15046,1,1,9
15047,1,2,0
